Comment,Designator,Footprint,LCSC Part Number
24.9K,R13,R_0402_1005Metric,C25874
10R,R18,R_0402_1005Metric,C25077
120R,R17,R_0402_1005Metric,C25079
5.1K,"R16,R15",R_0402_1005Metric,C25905
1K,R14,R_0402_1005Metric,C11702
100K,"R12,R10,R9",R_0402_1005Metric,C25741
27K,R11,R_0402_1005Metric,C25771
866K,R8,R_0402_1005Metric,C27020
10K,"R7,R3",R_0402_1005Metric,C25744
5R,R6,R_0402_1005Metric,
65R,"R5,R4",R_0402_1005Metric,
4K7,"R2,R1",R_0402_1005Metric,C25900
100nF,"C22,C17",C_0402_1005Metric,C1525
0.1µF,"C21,C20,C19,C18,C16,C10,C9,C5",C_0402_1005Metric,C361198
0.47µF,C15,C_0402_1005Metric,C47339
10nF,C14,C_0402_1005Metric,C15195
4.7µF,C7,C_0402_1005Metric,C23733
1µF,"C2,C4",C_0402_1005Metric,C52923
BMP388,U6,BMP388,
USB_C_Receptacle_USB2.0,J2,JAE DX07S016JA1,
OBD2,J3,OBD2,
U.FL-R-SMT-101,J7,U.FL-R-SMT-101,
MAX-M8W,U9,ublox_MAX,
Micro_SD_Card,J6,microSD_HC_Hirose_DM3AT-SF-PEJM5,
D_Zener,D7,D_0201_0603Metric,
AZ1117C-3.3,U3,SOT-89-3,C460428
ESP32-WROOM-32,U2,ESP32-WROOM-32U,C529580
LED Red,D1,LED_0402_1005Metric,C74339
LED Green,D2,LED_0402_1005Metric,C74338
LED Blue,D3,LED_0402_1005Metric,C130724
SW_Push,"SW3,SW1,SW2",SPST_B3U-3000P-B,
10µF,"C6,C12,C1",C_0805_2012Metric,C15850
67329-8040,J1,Molex 67329-8040 ,
SP0503BAHT,D6,SOT-143,C7074
CP2102N-A01-GQFN24,U4,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C80225
D_Schottky,"D4,D5",D_SMA,C511853
LMR33630BDDA,U1,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,
2.2µH,L1,TDK_SPM5030,C518955
SiP32431DR3,U8,SOT-363_SC-70-6,C141606
ICM-20689,U5,QFN50P400X400X95-25N-D,
MCP2562-E-MF,U7,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,C635113
22µF,"C13,C11,C8",C_0805_2012Metric,C45783
220nF,C3,C_0805_2012Metric,C5378
