Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10µF","C_0805_2012Metric",200.406000,-71.374000,0.000000,top
"C2","1µF","C_0402_1005Metric",244.856000,-68.834000,180.000000,top
"C3","220nF","C_0805_2012Metric",200.406000,-73.406000,180.000000,top
"C4","1µF","C_0402_1005Metric",206.375000,-77.724000,270.000000,top
"C5","0.1µF","C_0402_1005Metric",206.375000,-75.692000,90.000000,top
"C6","10µF","C_0805_2012Metric",238.252000,-68.072000,90.000000,top
"C7","4.7µF","C_0402_1005Metric",211.455000,-86.995000,90.000000,top
"C8","22µF","C_0805_2012Metric",203.962000,-71.374000,180.000000,top
"C9","0.1µF","C_0402_1005Metric",240.792000,-69.342000,0.000000,top
"C10","0.1µF","C_0402_1005Metric",210.185000,-86.995000,90.000000,top
"C11","22µF","C_0805_2012Metric",203.962000,-73.406000,180.000000,top
"C12","10µF","C_0805_2012Metric",199.898000,-82.042000,0.000000,top
"C13","22µF","C_0805_2012Metric",203.454000,-82.042000,180.000000,top
"C14","10nF","C_0402_1005Metric",245.364000,-64.262000,270.000000,top
"C15","0.47µF","C_0402_1005Metric",238.760000,-65.278000,270.000000,top
"C16","0.1µF","C_0402_1005Metric",245.364000,-66.294000,90.000000,top
"C17","100nF","C_0402_1005Metric",245.110000,-90.932000,90.000000,top
"C18","0.1µF","C_0402_1005Metric",218.440000,-69.088000,180.000000,top
"C19","0.1µF","C_0402_1005Metric",208.915000,-97.155000,0.000000,top
"C20","0.1µF","C_0402_1005Metric",220.980000,-71.120000,270.000000,top
"C21","0.1µF","C_0402_1005Metric",210.185000,-99.314000,90.000000,top
"C22","100nF","C_0402_1005Metric",243.840000,-88.900000,180.000000,top
"D1","LED","LED_0402_1005Metric",225.425000,-91.440000,180.000000,top
"D2","LED","LED_0402_1005Metric",227.838000,-91.440000,180.000000,top
"D3","LED","LED_0402_1005Metric",229.870000,-91.440000,180.000000,top
"D4","D_Schottky","D_SMA",210.566000,-81.788000,90.000000,top
"D5","D_Schottky","D_SMA",207.010000,-85.852000,270.000000,top
"D6","SP0503BAHT","SOT-143",208.534000,-94.234000,180.000000,top
"D7","D_Zener","D_0201_0603Metric",249.682000,-98.806000,0.000000,top
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_JAE_DX07S016JA1",201.676000,-94.615000,270.000000,top
"J6","Micro_SD_Card","microSD_HC_Hirose_DM3AT-SF-PEJM5",222.758000,-103.378000,270.000000,top
"R1","4K7","R_0402_1005Metric",238.760000,-90.744000,270.000000,top
"R2","4K7","R_0402_1005Metric",240.030000,-90.744000,90.000000,top
"R3","10K","R_0402_1005Metric",244.856000,-67.818000,0.000000,top
"R4","65R","R_0402_1005Metric",225.425000,-90.170000,180.000000,top
"R5","65R","R_0402_1005Metric",227.838000,-90.170000,180.000000,top
"R6","5R","R_0402_1005Metric",229.870000,-90.170000,180.000000,top
"R7","10K","R_0402_1005Metric",197.612000,-76.200000,90.000000,top
"R8","866K","R_0402_1005Metric",197.612000,-78.105000,270.000000,top
"R9","100K","R_0402_1005Metric",197.612000,-80.010000,270.000000,top
"R10","100K","R_0402_1005Metric",200.025000,-69.850000,0.000000,top
"R11","27K","R_0402_1005Metric",201.930000,-69.850000,0.000000,top
"R12","100K","R_0402_1005Metric",206.375000,-73.660000,90.000000,top
"R13","24.9K","R_0402_1005Metric",206.375000,-80.010000,90.000000,top
"R14","1K","R_0402_1005Metric",211.455000,-88.900000,270.000000,top
"R15","5.1K","R_0402_1005Metric",205.740000,-92.075000,270.000000,top
"R16","5.1K","R_0402_1005Metric",205.740000,-96.520000,270.000000,top
"R17","120R","R_0402_1005Metric",215.265000,-69.088000,180.000000,top
"R18","10R","R_0402_1005Metric",241.300000,-97.155000,270.000000,top
"SW1","SW_Push","SW_SPST_B3U-3000P-B",244.602000,-76.962000,270.000000,top
"SW2","SW_Push","SW_SPST_B3U-3000P-B",244.602000,-71.882000,270.000000,top
"SW3","SW_Push","SW_SPST_B3U-3000P-B",244.602000,-82.042000,270.000000,top
"U1","LMR33630BDDA","Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias",201.930000,-77.216000,0.000000,top
"U2","ESP32-WROOM-32","ESP32-WROOM-32U",232.925000,-79.740000,270.000000,top
"U3","AZ1117C-3.3","SOT-89-3",200.914000,-85.598000,270.000000,top
"U4","CP2102N-A01-GQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",214.630000,-89.662000,270.000000,top
"U5","ICM-20689","QFN50P400X400X95-25N-D",241.935000,-65.278000,270.000000,top
"U7","MCP2562-E-MF","DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm",218.186000,-71.374000,180.000000,top
"U8","SiP32431DR3","SOT-363_SC-70-6",208.092000,-99.060000,180.000000,top
"U9","MAX-M8W","ublox_MAX",244.602000,-105.156000,90.000000,top
