Comment,Designator,Quantity,Footprint
24.9K,R13,1,R_0402_1005Metric
10R,R18,1,R_0402_1005Metric
120R,R17,1,R_0402_1005Metric
5.1K,"R16,R15",2,R_0402_1005Metric
1K,R14,1,R_0402_1005Metric
100K,R12,1,R_0402_1005Metric
100K 1%,"R10,R9",2,R_0402_1005Metric
27K 1%,R11,1,R_0402_1005Metric
866K 1%,R8,1,R_0402_1005Metric
10K 1%,R7,1,R_0402_1005Metric
10K,R3,1,R_0402_1005Metric
5R,R6,1,R_0402_1005Metric
65R,"R5,R4",2,R_0402_1005Metric
4K7,"R2,R1",2,R_0402_1005Metric
100nF,"C22,C17",2,C_0402_1005Metric
0.1µF,"C21,C20,C19,C18,C16,C10,C9,C5",8,C_0402_1005Metric
0.47µF,C15,1,C_0402_1005Metric
10nF,C14,1,C_0402_1005Metric
4.7µF,C7,1,C_0402_1005Metric
1µF,"C2,C4",2,C_0402_1005Metric
BMP388,U6,1,BMP388
USB_C_Receptacle_USB2.0,J2,1,JAE DX07S016JA1
U.FL-R-SMT-101,J7,1,U.FL-R-SMT-101
u.blox MAX-M8W,U9,1,ublox_MAX
Micro_SD_Card,J6,1,microSD_HC_Hirose_DM3AT-SF-PEJM5
D_Zener,D7,1,D_0201_0603Metric
AZ1117C-3.3,U3,1,SOT-89-3
ESP32-WROOM-32,U2,1,ESP32-WROOM-32U
LED Red,D1,1,LED_0402_1005Metric
LED Green,D2,1,LED_0402_1005Metric
LED Blue,D3,1,LED_0402_1005Metric
SW_Push,"SW3,SW1,SW2",3,SPST_B3U-3000P-B
10µF,"C6,C12,C1",3,C_0805_2012Metric
67329-8040,J1,1,Molex 67329-8040 
SP0503BAHT,D6,1,SOT-143
CP2102N-A01-GQFN24,U4,1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm
D_Schottky,"D4,D5",2,D_SMA
LMR33630BDDA,U1,1,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias
2.2µH,L1,1,TDK_SPM5030
SiP32431DR3,U8,1,SOT-363_SC-70-6
ICM-20689,U5,1,QFN50P400X400X95-25N-D
MCP2562-E-MF,U7,1,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm
22µF,"C13,C11,C8",3,C_0805_2012Metric
220nF,C3,1,C_0805_2012Metric
,,64,
